Id1	Id2	Count
CZFDkfEAAAAJ	_X-PrRkAAAAJ	1
qoFYHTMAAAAJ	qC7oNRUAAAAJ	1
yvvjnhIAAAAJ	rnBRPpQAAAAJ	3
E1jnOcUAAAAJ	30pCSfEAAAAJ	1
36SCzI0AAAAJ	fAw_t5EAAAAJ	1
Da-s1FQAAAAJ	GUAoEcAAAAAJ	3
GlBl-VUAAAAJ	1guy5W4AAAAJ	1
cA28Zs0AAAAJ	07ds-DAAAAAJ	4
XqI4gAYAAAAJ	nfeNsaoAAAAJ	15
vuKTnnsAAAAJ	NByrsK0AAAAJ	11
4tcxRqMAAAAJ	nngRAEYAAAAJ	8
d6vU434AAAAJ	x3c1R2gAAAAJ	1
vEbcIKYAAAAJ	dgobB6AAAAAJ	1
WL8igVEAAAAJ	qC7oNRUAAAAJ	1
runT3RsAAAAJ	oVygx30AAAAJ	23
HlxqS1MAAAAJ	QgGaAdsAAAAJ	1
mWcHXJcAAAAJ	86AWJ58AAAAJ	8
L05BN0sAAAAJ	HUxQ1TAAAAAJ	1
GbLB9aAAAAAJ	BECu7wYAAAAJ	1
TOAnGa8AAAAJ	q7HqHocAAAAJ	1
TL3wdfgAAAAJ	yOJ8F4gAAAAJ	1
aLOSzWwAAAAJ	VVpfyhsAAAAJ	2
NHZdlVkAAAAJ	n-Oret4AAAAJ	1
I1RqBRoAAAAJ	C4m8TSUAAAAJ	1
NByrsK0AAAAJ	CUkAtC4AAAAJ	1
LwNkL3cAAAAJ	HUxQ1TAAAAAJ	1
ojH7GEgAAAAJ	_4i-G3YAAAAJ	1
6_oL_9IAAAAJ	88L1-JYAAAAJ	1
o_a5zckAAAAJ	_HYCqwkAAAAJ	1
GHsoyKIAAAAJ	MeSHpCsAAAAJ	1
XdI8DgEAAAAJ	HRSDO6IAAAAJ	3
Z_jPrx8AAAAJ	1qqf7D0AAAAJ	3
jDKM_4AAAAAJ	nKVDcQoAAAAJ	1
H7vcwSAAAAAJ	8kA3eDwAAAAJ	1
tpoh43QAAAAJ	-DVbMb4AAAAJ	2
fzSHXS8AAAAJ	cPmMoXoAAAAJ	1
nk3OcBoAAAAJ	5HX--AYAAAAJ	5
GBGCjpQAAAAJ	MrVb9FkAAAAJ	85
TOAnGa8AAAAJ	LWAFHkEAAAAJ	6
ftAplLUAAAAJ	Gu-FyNMAAAAJ	3
CUkAtC4AAAAJ	T1lNNLkAAAAJ	14
UcpEexUAAAAJ	db9WLdcAAAAJ	12
C4m8TSUAAAAJ	iSq5G8cAAAAJ	2
8iQk0DIAAAAJ	hgZgvkUAAAAJ	1
4tcxRqMAAAAJ	Icl5BnYAAAAJ	6
JSFmVQEAAAAJ	yxUduqMAAAAJ	3
KQm_HnIAAAAJ	W362rUwAAAAJ	3
p_QR9RUAAAAJ	M5_wxAkAAAAJ	30
runT3RsAAAAJ	wTulq9QAAAAJ	14
hiGGy0kAAAAJ	rnBRPpQAAAAJ	1
qC7oNRUAAAAJ	ZRrTqs8AAAAJ	38
L9dwKyUAAAAJ	N1vnxn4AAAAJ	1
WHZiLTIAAAAJ	HdLFmroAAAAJ	2
8iQk0DIAAAAJ	qPlUgrgAAAAJ	1
wY-Wy6IAAAAJ	bh-uRFMAAAAJ	1
rynvwScAAAAJ	HgaNy9kAAAAJ	1
3HjjRz8AAAAJ	YbSq5T0AAAAJ	3
4xHzvxkAAAAJ	XM97iScAAAAJ	1
QY-earAAAAAJ	f9iP-80AAAAJ	42
2nmHOtoAAAAJ	yxUduqMAAAAJ	1
5Tw9egMAAAAJ	bnmsbZkAAAAJ	3
tdfS7TwAAAAJ	ocXMyBcAAAAJ	1
JwQWFLkAAAAJ	tyYtUNIAAAAJ	2
fzSHXS8AAAAJ	MCClSvsAAAAJ	45
30pCSfEAAAAJ	rnBRPpQAAAAJ	2
Kf97-EkAAAAJ	Zy2cIskAAAAJ	1
eYVXgAoAAAAJ	sr1HGtUAAAAJ	1
pkjoANMAAAAJ	MMuP6cMAAAAJ	2
qvKcICQAAAAJ	eYVXgAoAAAAJ	1
zZO9qG4AAAAJ	2A6PMfEAAAAJ	20
Viv2E9AAAAAJ	M93Auk4AAAAJ	1
yC-70wMAAAAJ	amDW89cAAAAJ	5
NHZdlVkAAAAJ	ZRrTqs8AAAAJ	2
bYlFzsYAAAAJ	hmq4rGIAAAAJ	1
qC7oNRUAAAAJ	XeYCNAwAAAAJ	1
MYqlcPgAAAAJ	9s9o-JcAAAAJ	1
HgaNy9kAAAAJ	Qhe5ua0AAAAJ	4
jDKM_4AAAAAJ	qPlUgrgAAAAJ	1
UK-VpDoAAAAJ	ptI-HHkAAAAJ	1
J12C3nYAAAAJ	_4i-G3YAAAAJ	5
d9f_YvcAAAAJ	yvvjnhIAAAAJ	1
mtB5szIAAAAJ	DSiNzkIAAAAJ	4
tyYtUNIAAAAJ	eYVXgAoAAAAJ	1
3qYUSDwAAAAJ	chP1Vc0AAAAJ	6
